0
16
16
9 5 5 5 5 5 1 1 5 5 5 1 1 1 1 3
8 3 9 1 5 7 a 8 3 9 3 e e a a a
a a a c 5 3 8 2 8 6 8 1 5 0 2 a
a a c 1 7 a a 8 6 9 6 8 1 6 a a
a 8 7 a d 2 c 4 5 6 9 2 a 9 6 a
c 0 7 c 3 e 9 5 5 1 2 a 8 6 9 6
d 0 5 5 6 9 4 5 5 2 c 0 2 d 2 f
d 0 7 9 3 8 3 9 3 e 9 2 e d 4 3
d 0 7 a a a a 8 6 9 2 e 9 3 9 2
b c 3 a a c 0 6 9 2 e 9 2 c 6 a
a d 4 2 8 3 c 5 6 e 9 2 e d 5 2
a 9 7 c 2 a b b 9 3 a a 9 1 5 2
a 8 7 9 2 c 2 a a c 6 8 2 e d 2
8 6 9 6 a b 8 6 a b 9 6 c 3 d 2
8 1 4 7 a a a 9 6 a c 3 9 4 1 6
e c 5 5 4 4 4 4 5 4 5 4 4 5 4 7

