0
16
16
9 1 1 5 1 5 1 5 5 3 f f 9 1 1 3
a a a f a f a f 9 4 5 5 6 a a a
a 8 6 9 6 f a f a 9 5 5 5 6 a a
8 2 f a d 5 4 3 a a 9 5 5 5 6 a
a a 9 2 f f f a c 6 c 5 5 3 9 2
a 8 6 8 1 5 1 6 f 9 5 5 5 6 a a
c 2 f a a f a 9 5 4 5 5 3 f a a
f 8 1 6 a f a 8 3 9 5 3 a f a a
f a c 3 8 5 6 c 6 a f a a f a a
9 2 f a c 5 5 5 3 c 3 a c 5 6 a
a c 5 4 5 3 9 5 4 3 a c 5 5 5 2
a f f f f a a 9 3 a a f 9 5 5 2
8 5 1 5 5 4 2 a a c 6 9 6 9 5 2
a f 8 5 1 5 4 6 c 3 f a f a f a
a f a f a f 9 5 5 2 f a f a f a
e f c 5 4 5 6 f f c 5 4 5 4 5 6

