0
16
16
9 3 b 9 1 1 3 b 9 3 b 9 3 b 9 3 
a 8 0 2 a a 8 2 a 8 2 a a 8 2 a 
a e e c 4 4 6 c 6 e c 6 c 6 e a 
8 5 1 5 1 7 9 5 3 9 1 1 3 9 1 6 
8 5 0 5 6 9 6 9 6 a a a 8 6 8 7 
c 1 4 7 9 6 9 4 7 c 2 8 2 9 4 3 
9 4 7 9 6 9 6 d 5 5 0 6 a 8 5 2 
8 7 9 6 9 6 b 9 1 5 4 5 6 c 1 6 
a 9 6 9 6 9 2 c 6 b 9 1 3 d 0 7 
8 6 9 6 9 6 a d 1 4 6 e c 5 4 7 
e 9 6 9 6 9 6 d 4 3 9 3 9 3 9 3 
9 6 9 6 9 6 9 5 3 c 6 c 6 c 6 a 
c 5 6 9 6 9 6 9 6 9 5 3 d 1 3 a 
b 9 5 6 9 6 9 6 9 6 9 6 9 6 a a 
8 2 9 1 6 9 6 9 6 9 6 9 6 9 6 a 
e c 6 c 7 c 5 6 d 4 5 6 d 4 5 6 
