0
16
16
f 9 3 f 9 5 3 b f d 3 9 7 d 5 3
d 4 6 b 8 5 2 e d 1 4 6 f b b e
f 9 3 c 4 5 0 7 b a b b d 0 2 b
f e e f 9 7 e d 6 a 8 0 7 e 8 6
d 1 7 b e 9 7 d 5 4 6 c 3 d 6 f
f e b c 3 8 3 b 9 1 1 7 c 5 7 f
d 5 2 d 2 e e a 8 6 c 7 f d 1 3
f f e 9 4 1 5 0 2 d 5 7 d 5 0 6
d 7 9 6 f c 3 c 2 b d 1 5 1 0 7
f 9 2 b 9 7 c 5 2 e d 4 7 e c 7
d 2 c 4 4 1 7 d 6 9 3 f b b f f
d 4 5 1 7 a d 3 9 2 c 7 e a b b
f b b c 1 4 5 6 c 6 f f 9 4 0 6
9 4 4 3 a d 1 3 d 7 9 5 4 5 6 f
a f 9 4 2 f a a 9 1 4 5 5 3 b f
e f e d 6 f e e e c 5 5 5 4 6 f

